Title,Date Written,Rating,Current/Former,Job Title,Location,Recommendation?,Outlook,Main Text,Pros,Cons,Advice to management
"""Director""","Sep 28, 2018",3.0,Former Employee,Anonymous Employee,,Recommends,Neutral Outlook,I worked at Google full-time,"Awesome benefits, great company culture","Disorganized, poor hiring practices, not honest about gender equity issues",
"""data analyst""","Sep 30, 2018",3.0,Current Employee,Data Analyst,"Mountain View, CA",Doesn't Recommend,Negative Outlook,I have been working at Google full-time (More than 3 years),good benefits. work life balance. low pressure,very political environment. too many layers. Communication overheads.,
"""Google EP Intern""","Sep 15, 2018",5.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,Approves of CEO,Awesome Perks! In addition you actually get to work on real projects unlike many internships similar to it.,One con is that you are not encouraged to work overtime.,
"""It's Google""","Sep 15, 2018",5.0,Current Employee,Anonymous Employee,,,,- Traffic is terrible,- High salary,- Bad food,
"""Amazing experience""","Sep 29, 2018",4.0,Current Employee,Anonymous Employee,,,,I have been working at Google full-time,"Great work environment, great product",Everything about working here is great,
"""Amazing company! The best in its class!""","Sep 11, 2018",5.0,Former Employee,Senior Recruiter,"Mountain View, CA",Recommends,Positive Outlook,I worked at Google full-time (More than 10 years),"I was at Google for over 10+ years and can’t say enough about what a great company it was to work for. They have outstanding benefits, pay, culture and opportunities for growth. While there, I felt the company lived by their motto, “Don’t Be Evil” and later “Do the Right Thing.” It wasn’t a marketing tactic, it was how they conducted business. Companies continue to try and model their best practices.",It is a performance culture so be prepared to work hard and smart.,
"""Software Engineer""","Sep 29, 2018",3.0,Current Employee,Anonymous Employee,,Doesn't Recommend,Positive Outlook,I have been working at Google full-time,Good work and challenging projects.,Bad management. Too much politics.,
"""Meh""","Sep 30, 2018",2.0,Current Employee,Anonymous Employee,,,,,"Good pay, benefits, and free food.",Spend more time sending emails than doing actual work.,
"""The hype is real.""","Sep 4, 2018",5.0,Former Employee,Account Strategist,"Mountain View, CA",Recommends,,I worked at Google full-time (More than a year),It's Google. The benefits are great. The people you work with every day are incredibly smart. The environment can be an addicting place to work in.,"Google is still a big company, so personal/career growth can be slow. Find the right people internally to act as your champions and you'll be fine.",
"""Compensation Associate""","Sep 13, 2018",5.0,Former Employee,Associate Compensation Analyst,"Mountain View, CA",Recommends,Positive Outlook,I worked at Google full-time (More than 3 years),"Great team, high level work output, very principled",Performance review and promotion process has a lot of room for improvement across Google,
"""Overall good company to work with""","Sep 13, 2018",5.0,Former Employee,Software Engineer,"Mountain View, CA",Recommends,Positive Outlook,- Very long dining hall line,- Quality team members,- Crowded workspace,
"""good""","Sep 14, 2018",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,Approves of CEO,everything is good at google,there is currently no cons at google,
"""Good place to work""","Sep 26, 2018",4.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,I worked at Google full-time,"scale, impact, tech, fun, people","politics, slow, lostmojo, old company",
"""Love it""","Sep 9, 2018",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Google full-time,"Great culture, pays well, balanced.",High living cost of the area,
"""Great Company""","Sep 27, 2018",3.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Google part-time,Love this place so much,Everyone is so smart,
"""Love it!""","Sep 11, 2018",5.0,Former Employee,Senior Software Engineer,"Denver, CO",Recommends,Positive Outlook,I worked at Google full-time (More than 5 years),Great food and perks!,None! What a great place to work!,
"""Challenging and rewarding work""","Sep 9, 2018",5.0,Former Employee,Video Producer,"Mountain View, CA",Recommends,Positive Outlook,I worked at Google full-time (More than 3 years),Very transparent company despite its size. Managers and colleagues help with your personal and career growth.,No real complaints. I wish I could've stayed.,
"""Great vision, but sometimes unrealistic goals""","Sep 9, 2018",5.0,Former Employee,Account Manager,"Houston, TX",Recommends,Positive Outlook,I worked at Google full-time (More than 3 years),Great company to work with,Extremely hardworking team and requires lot of time commitment,
"""Accountant""","Aug 30, 2018",5.0,Former Employee,Accountant,"Egypt, AR",Recommends,Positive Outlook,I worked at Google full-time (More than 3 years),Because it is a wonderful global company,There are no negative aspects to work in Google,
"""Awesome""","Sep 9, 2018",5.0,Current Employee,Software Engineer,"New York, NY",Recommends,Positive Outlook,I have been working at Google part-time (Less than a year),This is dream company to go there,There is no cons for Google,
"""Software ENgineer""","Sep 22, 2018",4.0,Current Employee,Software Engineer,"San Francisco, CA",,,I have been working at Google full-time (More than 3 years),Innovation opportunities to learn and grow,"Bureaucracy, management politics and bias",
"""Good company""","Sep 22, 2018",4.0,Former Employee,Software Developer,"Los Angeles, CA",,,I worked at Google full-time (More than a year),Nice work environment with good mix of people,No such that I noticed,
"""Great culture, but lots of cooks on some projects""","Sep 23, 2018",4.0,Former Employee,Strategy and Programs Manager,"Mountain View, CA",Recommends,Positive Outlook,I worked at Google full-time (More than 5 years),"Great colleagues, focus on work life / balance, perks and salary.",Lots of projects created to give people work and too many cooks for each project,
"""Great Company, Known Your Worth""","Sep 21, 2018",4.0,Current Employee,Anonymous Employee,,,,I have been working at Google full-time,"Overall, an unarguably fantastic place to work.","Little focus on retention, career development outside of one's org, or building transferrable skills. The larger the company grows, the more issues with defined roles; silos tend to manifest.",
"""Amazing place to work for""","Aug 31, 2018",5.0,Current Employee,Anonymous Employee,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than 3 years),"Great culture, amazing career opportunities, super interesting projects",Best company I've ever worked for,
"""Awesome""","Sep 6, 2018",5.0,Current Employee,Anonymous Employee,,,,I have been working at Google full-time,"Great team culture, love the place.",Google is now a big company.,
"""Superb""","Sep 6, 2018",5.0,Former Employee,Assistant,"Los Angeles, CA",Recommends,Positive Outlook,I worked at Google (Less than a year),Great opportunities for personal growth,Fast paced and highly demanding,
"""Software Engineer""","Sep 6, 2018",5.0,Current Employee,Anonymous Employee,,,,I have been working at Google full-time,"Great work environment, can work with many talented engineers.",Google becomes too big to get many career oppotunities.,
"""Good employer""","Sep 20, 2018",4.0,Current Employee,Anonymous Employee,,,,I have been working at Google full-time,"Relaxing working environment, pets allowed.",Pay not as good as to financial institutions in New York City.,
"""Great company!""","Sep 19, 2018",4.0,Former Employee,International Product Manager,"San Bernardino, CA",Recommends,Positive Outlook,I worked at Google (More than a year),"ceo, work life balance, projects",Sometimes interns were not given enough of an opinion,
"""Software Engineer""","Sep 19, 2018",4.0,Former Employee,Anonymous Employee,,,,I worked at Google full-time,"Good working environment, flexible working time","Big company, hard to get promotion unless with aggressive team and leader",
"""Google people, ambitious objectives""","Sep 4, 2018",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,Approves of CEO,People are excellent and most have good intentions. Company has ambitious objectives and has grown remarkably. High quality senior leadership.,Too many cultural disputes takes away from shared objectives.,
"""Software Engineer""","Sep 4, 2018",5.0,Former Employee,Anonymous Employee,,,,I worked at Google full-time,Perks perks perks perks perks.,California just wasn't for me.,
"""A fun ride""","Sep 17, 2018",4.0,Current Employee,Anonymous Employee,,Recommends,Neutral Outlook,Welcoming culture,"Smart, collaborative people",Hard to grow outside Mountain View,
"""BSA""","Sep 18, 2018",4.0,Current Employee,BSA Analyst,"Sunnyvale, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than 5 years),"Massages, Perks, Food, cutting edge tech",Developers get too theoretical so we end up not delivering anything,
"""Part time""","Sep 1, 2018",5.0,Current Employee,Part Time Cashier,"New York, NY",Recommends,Neutral Outlook,I have been working at Google part-time (More than 3 years),My dream in one time work in google and you gave me chance am try to best for google,Trying something new with google and sunder pichai,
"""Sales""","Aug 28, 2018",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Google full-time,Diverse culture and set of opportunities.,"Large corporation, very different businesses, original Google culture getting lost.",
"""SWE Intern""","Aug 30, 2018",5.0,Former Employee,Anonymous Employee,,,,,Great place to work! lots of brilliant people and free food,you get so spoiled by all the goodies and perks :(,
"""Engineering Practicum Internship""","Aug 31, 2018",5.0,Current Employee,Anonymous Employee,,Recommends,,I have been working at Google full-time,A great program to start your CS career and highly recommend any college freshman and sophomore to apply.,"Bay area housing -- the relocation bonus is not enough to cover all of the living costs. Need to find the right team on a topic that you love, otherwise it could be quite boring (and lonely?)",
"""Good Work but Hectic""","Sep 7, 2018",4.0,Former Employee,Software Engineer,"Mountain View, CA",Recommends,Positive Outlook,I worked at Google full-time (Less than a year),"Perks, intellectual atmosphere, salary, google brand.","Work Life balance, you may work on things never done before so they will be challenging, too many genius people who think they are always right and can be jerks.",
"""Partnerships Manager""","Aug 29, 2018",5.0,Former Employee,Anonymous Employee,,,,I worked at Google full-time,Tons of opportunity. Great people. Excellent perks. Fast-paced and autonomous.,Corporate hierarchy. Slow-moving HR. Growth boundaries that disregard exceptional performance/motivation.,
"""Programmer""","Aug 29, 2018",5.0,Former Employee,"Programmer, Security Engineer, Cloud Computing","India, TX",Recommends,Positive Outlook,I worked at Google full-time (Less than a year),"New technology are show in here and ,career apportunity is succeed in google","Hardwork, continue work, I accept any challenge",
"""The best company to work for!!""","Aug 30, 2018",5.0,Current Employee,Technical Program Manager,"Sunnyvale, CA",Recommends,Positive Outlook,I have been working at Google (More than 5 years),"Great attention to employee needs and happyness. Work with best and the brightest. Very positive attitude at work, openness and all voices count when it comes to company prosperity.","The organizations grow very fast, lots of unnecessary mid-management, who waist peoples presios time , just to justify their salaries.",
"""Great company - Long hours depending on position""","Aug 25, 2018",5.0,Current Employee,Administrative Business Partner,"Sunnyvale, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than a year),"Great culture, offices, benefits, people.",Working with execs requires long demanding hours (to be expected).,
"""Product Manager""","Aug 28, 2018",5.0,Current Employee,Medical Sales Representative,"Egypt, AR",Recommends,Positive Outlook,I have been working at Google full-time (More than 3 years),Love Marketing so much an have willing,Some stress but will reomove it,
"""Account Executive""","Sep 11, 2018",4.0,Former Employee,Anonymous Employee,,,,I worked at Google full-time,"Great people, interesting work, great office space","Hardcore mentality, long hours, competitive culture",
"""Great Place to work""","Aug 26, 2018",5.0,Current Employee,Anonymous Employee,,,,I have been working at Google full-time,"Compensation, benefits, and autonomy",Siloed environment at times,
"""sde""","Aug 26, 2018",5.0,Current Employee,Anonymous Employee,,,,,it is a good place to work,I have not find any issues,
"""Best place to work""","Aug 27, 2018",5.0,Current Employee,Software Engineer,"New York, NY",Recommends,Positive Outlook,I have been working at Google full-time (Less than a year),You get to work for GOOGLE. That's a lot to tell,Nothing. You can proudly say you work in GOOGLE,
"""Analyst""","Sep 10, 2018",4.0,Current Employee,Anonymous Employee,,,,I have been working at Google full-time,"Interesting work, great company to work for","Large organization, culture within different teams vary",
"""Amazing ambitious workplace""","Sep 7, 2018",4.0,Current Employee,Anonymous Employee,,,,Lot of work duplication.,Filled with extremely smart and talented people.,"Very large company, hard to make large impact.",
"""Senior Program Manager""","Aug 22, 2018",5.0,Former Employee,Anonymous Employee,,,,I worked at Google full-time,The people. The perks. The overall atmosphere upbeat and forward-thinking.,Heavy focus on making products easy to use results in limited help available for clients who prefer a more hands on customer engagement.,
"""Software Engineer""","Aug 26, 2018",5.0,Former Employee,Software Engineer,"Mountain View, CA",Recommends,Positive Outlook,I worked at Google full-time (More than 5 years),They offer great free food.,Food is too good and impact productivity,
"""Good""","Aug 22, 2018",5.0,Current Employee,Logistic Management,"New York, NY",Recommends,Neutral Outlook,I have been working at Google full-time (More than 10 years),excellent and benificial for evry employee,Im looking in hard wark with smart,
"""Great from afar, dysfunctional from within""","Sep 27, 2018",1.0,Former Employee,Anonymous Employee,"New York, NY",Doesn't Recommend,Positive Outlook,Show More,"There are pros to working at Google - it looks great on the resume because of its history, it is a known quantity in the industry, performers get a lot of stock, it's not yet an antiquated giant (but moving in that direction pretty fast.) , generally people are friendly (lower the level, better the people - the opposite is also true. Higher the level, worse the ""Googleyness"" of the people)","- Free food : I have actually had better ""free"" food at other companies, and this free food comes at a high price - you work - all the time. Through lunch. Through breakfast. Sometimes through dinner. Quality isn't so great either.",
"""Software Eng""","Aug 24, 2018",5.0,Current Employee,Anonymous Employee,"Los Angeles, CA",Recommends,Negative Outlook,I have been working at Google (More than 3 years),The place on the planet to work,Not all the people get to work on the best projects,
"""Great teammates, projects, pay, and perks""","Aug 19, 2018",5.0,Current Employee,Senior Software Engineer,"Seattle, WA",Recommends,Positive Outlook,I have been working at Google full-time (More than 3 years),A consequence of the crazy hiring bar is that everyone you work with is very smart and you can rely on your teammates to get things done.,"I guess some of the typical big company stuff, like it sometimes taking longer for a project to complete.",
"""Love working at Google in Boulder, CO""","Aug 22, 2018",5.0,Current Employee,Software Engineer-II,"Boulder, CO",Recommends,Positive Outlook,I have been working at Google full-time (More than 3 years),"Excellent people, interesting work, free meals, amazing benefits.",Big companies have a larger overhead of process than small ones.,
"""A company culture build around the millenial sterotype""","Sep 1, 2018",2.0,Current Employee,Software Engineer,"San Francisco, CA",Doesn't Recommend,Positive Outlook,Show More,Cost or budget is never a concern.,"The company culture is like a millennial personified--by lunch on the first day I was already annoyed by the exceedingly in-your-face liberal political culture. Evals and promotions are based on the importance of your project and your ability to kiss up to peers. Lunches are mediocre at MTV and everyone there's a long wait during typical lunch hours. The hiring process results in a more consistent level of hires, … ",
"""Director of Developmental Sales & Marketing""","Sep 24, 2018",1.0,Former Employee,Director of Developmental Sales & Marketing,"Carnegie, PA",Doesn't Recommend,Negative Outlook,Show More,Possibly a growth company but financial problems create much uncertainty,"I was hired through an Agency as a contract employee for 90 days, then offered a full-time position. This position lasted all of 24 days, then I was let go due to financial problems at the company. To make matters worse, I was told that I would receive severance on the forms I asked to sign. The company has reneged on that.",
"""Great coworkers and good environment to learn""","Aug 21, 2018",5.0,Former Employee,Anonymous Employee,"Mountain View, CA",,,I worked at Google full-time (More than a year),"In addition to the amazing perks, Google was a really great environment to learn - there are tons of really smart people you can learn from.",Could be hard to advance in the company.,
"""Awesome""","Aug 22, 2018",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,Good work life balance.,Super smart co-workers.,Perf takes a long time and promotions are hard.,
"""Great Company to work with""","Aug 22, 2018",5.0,Former Employee,Intern,"Los Angeles, CA",Recommends,Positive Outlook,I worked at Google (Less than a year),Everything is great and I liked it very much,no cons as such for this company,
"""Wonderful company""","Aug 16, 2018",5.0,Former Employee,Worker,"Los Angeles, CA",Recommends,Positive Outlook,I worked at Google full-time (More than a year),I don't know what to say...probably everything.,No real downsides in my opinion.,
"""Youtube Partner Account Manager""","Aug 16, 2018",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Google full-time,"Food, training, people, location, experience.",Sometimes your co-workers are a bit anxious because they are behind computers all day but that is it.,
"""Great place to work""","Aug 19, 2018",5.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,I worked at Google full-time,Has a great company atmosphere,I can not think of any!,
"""Best Company in the world!""","Aug 19, 2018",5.0,Current Employee,"Software Engineer, Tools and Infrastructures","San Bruno, CA",Recommends,Positive Outlook,I have been working at Google full-time (Less than a year),"Smart & hardworking teammates, perfect work-life balance and great benefits","Google only use its own tools, as a new-grad student, I do feel some pressure learning so many tools at the same time.",
"""Great place to work""","Aug 19, 2018",5.0,Former Employee,Copywriter,"New York, NY",Recommends,Positive Outlook,opportunity for career progression,sense of community,can be very time demanding,
"""Google Cloud Sales""","Aug 19, 2018",5.0,Current Employee,Account Executive,"Austin, TX",Recommends,Positive Outlook,I have been working at Google full-time (More than a year),"Working with brilliant people, being a part of an org that's in hypergrowth",Red tape/complexities of a large company with a large amount of stakeholders,
"""Everything you’d think""","Sep 1, 2018",4.0,Former Employee,Anonymous Employee,,,,,Amazing perks atmosphere and chances to grow,Potential to drink the koolaid and loose sight of some realities,
"""Undeniably a great place to work""","Jun 30, 2018",5.0,Current Employee,Product Manager,"New York, NY",,,Show More,"- Outstanding benefits, competitive compensation","- Onboarding is a very steep learning curve due to all the jargon, internal tools, internal software tools/languages, and new processes to learn",
"""Software Engineer""","Aug 30, 2018",3.0,Current Employee,Intern,,Recommends,Positive Outlook,I have been working at Google (More than a year),good culture but it's good,boring projects but it's fine,
"""Engineering Practicum Intern""","Aug 15, 2018",5.0,Former Employee,Google Engineering Practicum,"Mountain View, CA",Recommends,Positive Outlook,I worked at Google full-time (Less than a year),"Pay, work life balance, team placement, relevant to the field you’re working in even if you’re just a freshman/sophomore",Housing is not provided for you,
"""Product Marketing Manager""","Aug 29, 2018",4.0,Former Employee,Anonymous Employee,,,,I worked at Google full-time,The perks. Working with smart people.,Lots of consensus building.,
"""Site Reliability Engineering""","Aug 14, 2018",5.0,Former Employee,SRE,"Mountain View, CA",Recommends,Neutral Outlook,I worked at Google full-time (More than 5 years),"Great people, decent culture, good pay.","Company is changing their values, becoming big corporate America, which is exactly what I didn't want.",
"""Engineer review for google company""","Aug 15, 2018",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Google full-time,Good work environment for all people,The location of their office isn’t my favorite,
"""It's a boost for a better things""","Aug 24, 2018",3.0,Former Employee,Anonymous Employee,"Mountain View, CA",Doesn't Recommend,Positive Outlook,Show More,1. I had great managers (their managers though.....eh),"1. contractors are treated with second class status, you feel bad for them, for example, I could WFH whenever I had an appt, for a contractor, you lose 1/2 day pay for such. granted this also very dependent on the manager too. my first manager was strict with the contractors and by the book, my second one was very much 'I don't care where you work from so long as you get it done'",
"""The best company of my career.""","Aug 13, 2018",5.0,Former Employee,Test Manager,"Seattle, WA",Recommends,Positive Outlook,I worked at Google full-time (More than 5 years),Very wide range of opportunities to work in.,Performance review process is very lengthy and in depth.,
"""Software Engineer""","Aug 14, 2018",5.0,Current Employee,Software Engineer,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than a year),"Friendly environment, great benefit, great career opportunity",living cost is too high in bay area,
"""Competitive perks and pay""","Aug 28, 2018",4.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Google full-time,"Competitive perks and pay, great work life balance",Large corporation with hard upward mobility,
"""Not the same company it used to be""","Aug 28, 2018",3.0,Current Employee,Anonymous Employee,,,Positive Outlook,I have been working at Google full-time,"Amazing perks: Food, massages, you name it.",Becoming extremely bureaucratic. Can be comparatively slow to grow.,
"""Good Company""","Aug 13, 2018",5.0,Former Employee,Anonymous Employee,"New York, NY",,,I worked at Google full-time (More than a year),Great benefits in the office,Bureaucracy can be limiting to creatitivy,
"""Great company to work""","Aug 12, 2018",5.0,Current Employee,Anonymous Employee,,,,Work life balance,Innovation,Nothing that I know of. I like working here,
"""good""","Aug 7, 2018",5.0,Current Employee,Anonymous Employee,,,,,The food is good a lot.,The work is very hard.,
"""understading data workflow, and how it effect to bussiness""","Aug 25, 2018",3.0,Current Employee,Anonymous Employee,"Irvine, CA",Recommends,Neutral Outlook,I have been working at Google full-time,close to home and steady,"overtime, hardworking and average pay",
"""Google""","Aug 24, 2018",3.0,Former Employee,Anonymous Employee,,,,,Cross talk is excellent industry leading,Stressful atmosphere due to high level of competition,
