Title,Date Written,Rating,Current/Former,Job Title,Location,Recommendation?,Outlook,Main Text,Pros,Cons,Advice to management
"""Great place to work love it""","Oct 3, 2018",3.0,Current Employee,Anonymous Employee,,,,I have been working at Charles Schwab full-time,Working with family it is good,Sometimes it is boring but no problem,
"""Great Company""","Sep 17, 2018",5.0,Former Employee,Anonymous Employee,,Recommends,Neutral Outlook,Flex’ schedule option,Incentives,Entry level positions are in call center. Calls back to back.,
"""Abandoning their roots.""","Sep 25, 2018",3.0,Former Employee,Anonymous Employee,"San Francisco, CA",Doesn't Recommend,Neutral Outlook,I worked at Charles Schwab full-time (More than 10 years),Good pay. Good benefits. Telecommuting options for full-time employees.,"No great leadership for the online portion of the company. Everything is segmented. Its like you're not on a Schwab ship, you're just part of the fleet and you're not sure who is steering. Not allowed to give online feedback on coworkers until you leave the firm.",
"""Sr specialist operations""","Sep 14, 2018",5.0,Current Employee,Anonymous Employee,,,,I have been working at Charles Schwab full-time,Great work and life balance,Lower salary compared to other companies.,
"""Ok place to work""","Sep 26, 2018",3.0,Former Employee,Portfolio Services,"Raleigh, NC",,Neutral Outlook,I worked at Charles Schwab full-time (More than 3 years),"Some really good employees, some interesting work. Great work life balance","Low pay, promote based on tenure vs Performance.","Pay better, promote high performers."
"""Good entry level job and training""","Sep 13, 2018",4.0,Current Employee,Anonymous Employee,,,,I have been working at Charles Schwab full-time,"Good training, kind coworkers , supportive atmosphere",It is a call center,
"""Stock Broker""","Sep 12, 2018",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Charles Schwab full-time,"Awesome people, company, hours, locations","pay is low, thats about it",pay employees more.
"""Good company.""","Sep 12, 2018",4.0,Former Employee,Anonymous Employee,,,,I worked at Charles Schwab full-time,"Nice, new building. Good cafeteria. Plenty of investment in new initiatives.",Overly collaborative and consensus culture.,
"""Great start for my career""","Sep 11, 2018",4.0,Former Employee,Client Service Representative,,,,Typical cons of working in a inbound call center,Great company culture,24 month commitment to your position before you can transfer out,
"""Client Relationship Specialist""","Sep 11, 2018",4.0,Former Employee,Anonymous Employee,,,,I worked at Charles Schwab full-time,Great people to work with,High Turnover for CRS position,Give incentive to stay
"""Great company, bad department""","Sep 25, 2018",3.0,Former Employee,Accounting Manager,"Lone Tree, CO",Recommends,Positive Outlook,I worked at Charles Schwab full-time (More than 3 years),Stable company with good pay and benefits,Lack of opportunities for advancement,
"""Great Culture""","Sep 10, 2018",5.0,Current Employee,Anonymous Employee,"Austin, TX",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than 3 years),People committed to their clients and doing things the right way.,Salary can be on the low side,
"""Director""","Sep 10, 2018",4.0,Former Employee,Anonymous Employee,,,,I worked at Charles Schwab full-time,"Great culture, people, and mission.",Growth requires patience and pay seems a little low to be competitive.,
"""Director""","Sep 11, 2018",4.0,Former Employee,Anonymous Employee,,,,I worked at Charles Schwab full-time,Great company culture and challenging environment,Some people may not fit into culture at times,
"""Wonderful company for seasoned professionals""","Sep 6, 2018",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Charles Schwab full-time,"Lots of competent, motivated, smart people to work with",Management is a bit jumbled and difficult to get approval or input from,"Move faster, talk less, empower the people doing the work"
"""Financial Advisor""","Sep 6, 2018",4.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,I worked at Charles Schwab full-time,Well Established and successful company,Big Corporate Company and lots of employees,
"""Senior Specialist""","Sep 20, 2018",3.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Charles Schwab full-time,Some opportunities for flex time; depending on department.,Company runs very lean so at times you can be very stretched.,
"""Fine Company- Just not in El Paso""","Sep 20, 2018",3.0,Current Employee,Associate,"El Paso, TX",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than a year),"Great coworkers, consistent schedule, great 401(k) matching, decent PTO/ Sick Leave","Pay, management, lots of external hiring for promotions",
"""Various""","Sep 4, 2018",5.0,Former Employee,Various,,Recommends,Positive Outlook,I worked at Charles Schwab full-time (More than 10 years),"Ethical Company, great people to work with, I was lucky to have great managers, benefits choices were good - typical for a large company.","Very understaffed at times, Benefits choices were good, but pricey.","Offer more flexible, part time and telecommute jobs to attract and keep qualified employees."
"""Customer service representative""","Aug 31, 2018",5.0,Former Employee,Financial Customer Service Representative,"Westlake, TX",Recommends,Positive Outlook,I worked at Charles Schwab full-time (Less than a year),"Great management, staff and coworkers! Benefits are good too!","A call center, they do not inform you that this is what it is before being hired.",Management is great!
"""marketing""","Oct 4, 2018",1.0,Former Employee,Anonymous Employee,,,,I worked at Charles Schwab full-time,large company so lots of growth opportunity,you have to have one personality or you will not fit in. strong personalities do not do well...passive aggressive only need apply.,
"""Schwab""","Aug 29, 2018",4.0,Former Employee,Client Services,"Lone Tree, CO",Recommends,Neutral Outlook,I worked at Charles Schwab (More than 3 years),"Stable job prospect, you can be a lifer.",pay is on the low side,Treat your employees right.
"""Registered Representative I""","Aug 28, 2018",4.0,Current Employee,Registered Representative I,"Westlake, TX",Recommends,Neutral Outlook,I have been working at Charles Schwab full-time (Less than a year),Great worker in the company,Need to talk on the phone all day.,
"""Resolution Manager""","Aug 27, 2018",4.0,Former Employee,Resolution Manager,"Phoenix, AZ",Recommends,Positive Outlook,I worked at Charles Schwab full-time (More than 5 years),"Excellent work environment. Hardly any politics or drama. Management promotes based on your skills, not who you know. They really champion promoting up and in rather than hiring from outside. They value their employees and want you to succeed and work for them rather than going to a competitor.",Salaries can be on the lower side if you compare it to similar positions within the industry.,Invest a little more into your front-line employees and you may see less attrition.
"""Overall good place to work""","Aug 26, 2018",5.0,Current Employee,Anonymous Employee,,,,I have been working at Charles Schwab full-time,Great benefits and great growth opportunities,Miscommunication between managers and teams,
"""Financial Consultant Partner""","Sep 29, 2018",1.0,Former Employee,Financial Consultant Partner,"Chicago, IL",Doesn't Recommend,Negative Outlook,Show More,I do not have much good to say about this company except the that there are many good people who work there.,"Terrible place to work!!! Think twice before working here!!!!There are good people who work there. But they are extremely overworked and underpaid!!! Also, customers don’t value the relationship with the consultant largely because of the $4.95 Commerical that the companies constantly runs resulting in the consultant not being valued as an advisor. Clients look at the firm as a commodity to be compared against … ",Make more visit to the departments. Get direct input from the employees and not the managers and make actionable changes based on those meeting. S
"""Relationship Manager""","Aug 24, 2018",5.0,Former Employee,Anonymous Employee,,Recommends,,I worked at Charles Schwab full-time,"Smart people, easy going culture, not a typical b/d",Co-workers were lacking in interview skills.,
"""The Epitome of Corporate""","Sep 5, 2018",3.0,Former Employee,Software Applications Engineer,"Lone Tree, CO",Doesn't Recommend,Neutral Outlook,I worked at Charles Schwab full-time (More than a year),"Modern and clean facilities, tight security, wide variety of on-site breakfast and lunch options","Little to no regard for employees' opinions of management hiring decisions, very disingenuous and cliquey vibe throughout the company",Treat employees like humans instead of machines
"""Charles Schwab""","Aug 24, 2018",5.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,I worked at Charles Schwab full-time (More than 8 years),"Benefits, salary, prof growth, investment advice",there were no real cons for me,none
"""Interview""","Sep 7, 2018",2.0,Current Employee,Technical Architect,,Doesn't Recommend,Neutral Outlook,I have been working at Charles Schwab full-time (More than 3 years),pay is decent and most folks are friendly,"very disconnected, unorganized infighting and no team work. Does not seem like IT department knows what it is doing",
"""Equity Research Analyst""","Aug 20, 2018",4.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Charles Schwab full-time,Great co-workers; and work-life balance philosophy.,focus too much on external hires for internal positions.,
"""Great place to work. Great People. Great executive team.""","Aug 20, 2018",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Charles Schwab full-time,Great culture - forward looking company.,"Moves very slow, time off plan not competitive compared to peers. Vacation time is lighter than others in the industry. Sick time is nice, but if you don't get sick it is not of great value until you quit.",Fix the time off policy. Separation of sick time and vacation time is a very antiquated way to manage.
"""Estate Services""","Sep 23, 2018",1.0,Current Employee,Estate Services,,Doesn't Recommend,Negative Outlook,Show More,"Consistent hours, Cafe, free valet parking, HSA plan","Everything else. This company does not care about any department that is not revenue generating. They decided to make licensing, a condition of employment for employees who have been there for years. They bring in new people for more money than they pay their current employees. They also are very secretive. when someone leaves the company, the team members do not know until the person's last day, which leaves the … ",Show that your employees matter. Realize that happy employees make happy customers/clients.
"""Good place to work""","Aug 20, 2018",4.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,I worked at Charles Schwab full-time,"Smart coworkers, good benefits, flexible work schedule at times",Things can move at a pretty slow pace at least on the technology side,
"""Great Company""","Aug 18, 2018",5.0,Current Employee,Anonymous Employee,"Austin, TX",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than a year),"Good pay, benefits, training, and work/life balance. No prior experience required.",Not very much upward progression opportunity,
"""Sort sighted, intentionally high turnover""","Aug 29, 2018",2.0,Former Employee,Anonymous Employee,,,,I worked at Charles Schwab full-time,They have a relaxed work environment.,"Low pay, poor management, short-term thinking",
"""Senior Manager""","Aug 17, 2018",5.0,Current Employee,Anonymous Employee,"Phoenix, AZ",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than 10 years),Great culture. Focus on clients and integrity,No gym onsite. Outdated building,
"""The Corporate Life""","Sep 17, 2018",1.0,Current Employee,Tech Manager,"Austin, TX",Doesn't Recommend,Negative Outlook,I have been working at Charles Schwab full-time (More than 3 years),Some stability. Location nice. Cafe pretty good,When hired I was told many great things that turned out to be false. Opinions are not really valued and this is not an innovative company. It’s a slow moving corporate behemoth requiring frequent meetings and upper management input to get anything done. There’s no career growth,You are behind the times
"""Software Developer Intern""","Aug 13, 2018",5.0,Former Employee,Anonymous Employee,,Recommends,,I worked at Charles Schwab full-time,The people were incredibly nice and they paid for my lunch on numerous occasions. All the people are helpful and they had a sense of humor which I really enjoyed.,"You have to pay for parking, which can sometimes be a pain when there are events happening in the usual parking debts.",
"""High Net Worth Specialist""","Aug 10, 2018",4.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,- Can be a grind,-The role provides you an opportunity to pivot into some of the higher paying sales roles in the company.,- Maintaining certain levels of contact percentages throughout the day,Find ways for reps to work on CFP and FINRA licenses (9/10) during work hours more. Get rid of current survey system.
"""Participant Service Associate""","Aug 25, 2018",3.0,Former Employee,Anonymous Employee,,,,I worked at Charles Schwab full-time,Job Security after you pass the license exams,Salary is bad and its hard to stand out since they keep hiring every month and they do the same thing as everyone else.,Pay more or hire better managers. I get it that you are answering the phones all day every day but try to mix it up more or people will get bored and start quitting.
"""Alright""","Aug 21, 2018",3.0,Current Employee,Associate Software Engineer,"Austin, TX",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than a year),"Relaxing, low-stress environment, friendly people, opportunities for growth, good benefits.",Very far behind with regards to technology. Very slow paced. Pay not the best.,
"""Polite, Courteous, and Passive Aggressive""","Sep 6, 2018",1.0,Current Employee,Technology Group,"Lone Tree, CO",,Neutral Outlook,Show More,Bankers hours; low stress; a cube to call your own,"-Travel back to 50’s style management styles -leave your aspirations of autonomy, mastery, and purpose at the security turnstile.",-Ditch Schwab Nice in favor of Schwab Honest or Schwab Real.
"""Business Anayst""","Aug 8, 2018",5.0,Former Employee,Anonymous Employee,,,,,You can learn a lot about data analytics at Schwab since it has a solid database and a lot of talented people.,If you are not interested in the financial service industry.,
"""Cashiering Operations""","Aug 22, 2018",2.0,Current Employee,Anonymous Employee,,,,I have been working at Charles Schwab full-time,Nice co-workers and a pleasant building,"Micromanagement was introduced ('Enlighten'), everybody hates it",
"""Financial Specialist""","Sep 6, 2018",1.0,Current Employee,Specialist,"Phoenix, AZ",Doesn't Recommend,Negative Outlook,Show More,Licenses,The list is long...,Just stop. EVERYTHING needs to be reviewed. Young talent will be lost more often than not due to how AWFUL a day to day is.
"""Senior Managing Director""","Aug 7, 2018",4.0,Current Employee,Senior Managing Director,"Fort Worth, TX",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than a year),The people and culture and values,The company could be more diverse.,
"""Senior Manager""","Jul 23, 2018",4.0,Current Employee,Senior Manager,"San Francisco, CA",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than a year),"Great culture (no jerks), work-life balance, and provide lots opportunities to move/transfer across teams internally. Schwab is well run, has strong leadership, and truly looks out for its customers (and all stakeholders). Having integrity is a key part of firm's identity.","A bit stuffy/formal (especially for a company headquartered in SF but par for the course as financial services co.), slow to innovate (more of a reactive company), not enough ""bean bag and snacks"" type perks for employees.","Please continue to maintain the ""through clients eyes"" mentality, ease up on the internal formalities (dress code, obsessive use of powerpoint decks as form of communication, and office layout).....if you want to become a digital firm and attract younger talent.....create a less formal environment that focuses on employee engagement and career development."
"""Technical lead""","Aug 3, 2018",5.0,Current Employee,Anonymous Employee,"Austin, TX",Recommends,Positive Outlook,Culture,Career advancement,At times there can be a lot of things going on at once.,
"""Investment Consultant""","Aug 2, 2018",4.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Charles Schwab full-time,"Great culture, everyone is in good faith and lifts each other up. Good office environment",Not paid as much as you should be,
"""Investment consultant""","Aug 1, 2018",5.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,Approves of CEO,Great work life balance,Low pay for work load,
"""The magic is gone""","Sep 2, 2018",1.0,Former Employee,Anonymous Employee,,Doesn't Recommend,,- Very aggressive to grow,- Name on the resume,- Too much bureaucracy,"Look into your employee survey results, and don't ignore them"
"""Relationship Speacialist""","Jul 30, 2018",4.0,Current Employee,Anonymous Employee,"Orlando, FL",,Negative Outlook,"Earn vacation overtime, not upfront",Solid Benefits,Overworked/Understaffed,
"""Associate analyst""","Jul 28, 2018",5.0,Former Employee,Anonymous Employee,,,,Low stress but at times not so much,Great environment,"Poor management, lack of synergy",Work well together
"""Intern""","Jul 27, 2018",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Charles Schwab (Less than a year),"Easy place to work, anyone is willing to assist, best work culture I've ever seen.",Very repetitive nature in some roles,
"""Financial Consultant Partner (FCP) role is a trap""","Aug 1, 2018",2.0,Former Employee,Financial Consultant Partner,"San Francisco, CA",Doesn't Recommend,Positive Outlook,"Hiring/Promotion practices should be based more on knowledge, skills and abilities of applicants vs. politics and favoritism","The biggest benefit of working at Schwab is being able to get licensed. There is potential to advance your career if you know the right people too. Benefits are okay but are not keeping up with the rest of country, especially San Francisco. There are opportunities to learn about the industry and work with great clients and coworkers. The work life balance for most roles is great too.","If you are considering applying for the Financial Consultant Partner (FCP) role with the expectation that you will become a Financial Consultant (FC) you will most likely be disappointed. Of the many FCPs I know across the country, only 2-3 have made direct transitions to become Financial Consultants. This role has an obligatory 2 year commitment period as well. As the role is so varied in scope, there is often … ",Regional/Middle-Management should be more honest & transparent with staff
"""Depends on department : Software Engineer""","Jul 27, 2018",3.0,Former Employee,Software Engineer,"Austin, TX",Recommends,Positive Outlook,"-too much reliance on off shore and ""contractors"", I'd say 60%-70% of the people you work with fall into this category","-Good benefits package: free financial advice, investment options, sabbatical every 5 years etc..","-No work life balance, lots of late nights and weekends",
"""Manager - Sales and Production""","Jul 24, 2018",5.0,Current Employee,Manager,"Phoenix, AZ",Recommends,Positive Outlook,Show More,"You drive your career with Schwab. There are numerous opportunities depending on your desire and interest. Management is very transparent and candid. If you are looking for an excellent company to build an life-long career, Schwab is the place. Co-workers are very dynamic and engaging. I've worked for several large investment firms and Schwab has the best culture by far! If you like to challenge yourself and stay … ","Work is very fast pace and hectic at times. If you are looking for a ""mellow"" environment that does not change rapidly, then you will not enjoy working here.",Keep up the good work!
"""Specialist""","Jul 23, 2018",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Charles Schwab full-time,Good pay and good benefits. Sick policy is great!,Schedule is not very flexible,
"""Interviewed""","Aug 26, 2018",1.0,Current Employee,Anonymous Employee,,,,,Seems to be a more professional company compared to competitors.,Was not taken seriously during phone interview. Was obvious they were not actually interested in me right away. Likely a company that simply requires them to interview a certain number of candidates.,
"""Good company, just a call center.""","Jul 19, 2018",4.0,Current Employee,Financial Services Professional,"Indianapolis, IN",Doesn't Recommend,Positive Outlook,I have been working at Charles Schwab full-time (More than a year),Paid for license training. Good pay for a call center.,You work at a call center. Skills you learn at this job don't relate to other jobs outside of call center and being a broker.,"No advice, the company is great for being a call center job."
"""Great company with great vision""","Jul 19, 2018",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Charles Schwab full-time,Through the clients eyes. The motto that drives us all.,"Currently some staffing issues. It means there are a lot openings, but an increase in workload.",
"""Disappointing....""","Aug 18, 2018",1.0,Current Employee,Anonymous Employee,,Doesn't Recommend,Neutral Outlook,I have been working at Charles Schwab full-time,I have yet to find any positive aspects of working at this company.,"There are a number of downsides to working at Schwab. The culture can be very political and somewhat toxic. Management does not empower or support their personnel and they seem to be stuck in the ""we don't do things that way here"" cycle, so they embrace change or outside viewpoints. Also, don't expect to do anything creative, as creativity is discouraged.","I would suggest that they take a serious look at their culture and how the company operates, maybe even bring in an outside consultant. If they are really serious about culture and the importance of the ""customer"", both internal and external, then they should welcome an objective viewpoint."
"""I wish the clients knew what goes on here""","Aug 21, 2018",1.0,Former Employee,Anonymous Employee,"Westlake, TX",Doesn't Recommend,Negative Outlook,,The scenery around the building is beautiful.,"Very unorganized and unprofessional atmosphere where the ""cool thing"" to do is air out your personal issues and gossip loudly and publically as people are takong phone calls. Felt pretty ""ghetto"" frankly. Never worked a hair salon but have been a few times and the feeling was here. What i thought and experienced was so misleading.","Those you're putting in power are eventually going to ruin your company's image to the masses. Everything from my observation was played by ear and witnessing persons in power publically yelling about ""baby daddy issues"" cursing out loud repeatedly while people are taking calls?! Truly unacceptable and only the ""tip"" of the iceberg. I'd start woth a more secure foundation before building more"
"""Great company to invest with: Not a great company to work for""","Jul 27, 2018",2.0,Current Employee,Client Relationship Manager,,Doesn't Recommend,Negative Outlook,Show More,I like being able to tell clients that Schwab is one of the lowest cost places to invest their hard earned savings.,The management at Schwab is made up almost entirely of former individual performing employees that have no clue how to people-manage.,"Have individuals with management skills run the branches and keep individual performers in the roles they are best suited for. Nothing is more frustrating than having a ""manager"" that has no clue how to motivate their employees, and assumes that all employees are motivated the same way as them."
"""High Net Worth Specialist""","Jul 3, 2018",4.0,Current Employee,High Net Worth Specialist,"Indianapolis, IN",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (Less than a year),"Great team atmosphere and work-life balance. Schwab provides 8 paid hours per year for community service. There is currently room for career growth at a fast pace. Schwab embraces diversity, women, and the LGBTQ community. They often show appreciation for employees by catering lunch and giving away snacks.",The pay is on the low end of the spectrum and the bonus is nothing to get excited over. A lot of the career growth opportunities require relocation and you are often not able to choose what city.,
"""Great place to work""","Jul 10, 2018",4.0,Former Employee,Anonymous Employee,,,,I worked at Charles Schwab full-time,Team atmosphere and training are all a plus,Can't think of many cons as of now,
"""Pinnacle""","Jul 6, 2018",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Charles Schwab full-time,There is a lot of opportunity and the company is growing,Not many that I can think of,
"""Associate Financial Service Professional""","Jul 6, 2018",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,Show More,Truly do value their employees and take care of you and your future career with the company,"While in this role, breaks/lunches can be strict.",
"""Really depends on the department""","Jul 1, 2018",4.0,Current Employee,Associate Account Solutions,"El Paso, TX",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than a year),Benefits are good. Pay is decent. Management is good if you're lucky,"The department I'm in can be stressful because we are the garbage disposal. If the task or question can't be completed by any other department, account solutions is stuck figuring it out. All other departments have a great structure except for this one. They implemented new metrics for accounts to open and jobs to complete that are just unmanageable for anyone who is not a robot.",
"""Business Analyst""","Jul 20, 2018",2.0,Current Employee,Business Analyst,"Phoenix, AZ",Doesn't Recommend,Neutral Outlook,I have been working at Charles Schwab full-time (More than 10 years),"Coworkers are amazing, sabbaticals","No support for career growth, no opportunities to move up, no support for training, pay is significantly less than equivalent jobs at other firms",Invest in your people.
"""Good but doesn’t pay as much as expected""","Jul 4, 2018",4.0,Current Employee,Anonymous Employee,,Recommends,Neutral Outlook,I have been working at Charles Schwab full-time,Great company but you’d think you’d be compensated a little more with a financial service company,Pay and heat in the summer,
"""Participant Services""","Jun 30, 2018",4.0,Former Employee,Associate Participant Services,"Phoenix, AZ",Recommends,Positive Outlook,I worked at Charles Schwab full-time (More than 3 years),Nice benefits and career starting position,Constantly on the phone yearly,Work on various positions and time off the phone
"""Global Services Rep""","Jun 29, 2018",5.0,Current Employee,Anonymous Employee,,Recommends,,- Great benefits,- Great culture/management,"- No cons, awesome opportunity",N/a
"""Disappointed""","Jun 25, 2018",2.0,Current Employee,Anonymous Employee,"Phoenix, AZ",Doesn't Recommend,Neutral Outlook,"*Not a very supportive, friendly place.","Business casual dress code, I suppose.",* The team I'm on isn't a very friendly team.,N/A
"""Not worth it""","Jul 24, 2018",1.0,Former Employee,Derivatives Trading Specialist,,Doesn't Recommend,Positive Outlook,Show More,Schwab will pay for your required industry licenses.,"There are very few opportunities to move up. Sure, you can switch roles within the company, but that role won’t be too different from this one. Most Derivatives Trading Specialists that stay with Schwab transition into the following roles:",Invest more in developing the website and the internal systems.
"""Charles Schwab is the BEST company I've ever worked for...""","Jun 14, 2018",5.0,Former Employee,Anonymous Employee,,,,I worked at Charles Schwab full-time,"They don't micro manage. They leave you alone. You do your job, they leave you alone.",The pay is lower than most companies of this size. That is all.,Management is GREAT !
"""Great place to grow""","Jun 14, 2018",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Charles Schwab full-time,"Great company to start, learn and grow your career in the investment services business.",Very difficult to break into management. Someone has to die or win the lottery before a managerial position opens.,"Stop salivating over the bank margins and support the core of the business; the investment side of the business. If the bank game ends, and eventually it will, its game over on the current path."
"""Team Manager""","Jun 14, 2018",4.0,Current Employee,Anonymous Employee,"San Francisco, CA",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than a year),"Good interaction with clients and your representatives, career growth",Yearly surveys can effect the manager review even though questions are mostly regarding the company.,Stay engaged more with your managers to get the employee pulse
"""Excellent Company""","Jun 13, 2018",5.0,Former Employee,Anonymous Employee,"San Francisco, CA",Recommends,Positive Outlook,Pro employee outlook,Clear direction.,Nothing bad to say...they did the best they could do by me.,
"""Change in direction""","Jul 16, 2018",1.0,Current Employee,Financial Representative,"Westlake, TX",Doesn't Recommend,Positive Outlook,I have been working at Charles Schwab full-time (Less than a year),"Pay, they used to be Customer oriented.",They became very numbers driven and clients and employees became an afterthought.,Put focus back on clients and employees.
"""Great culture and people, not enough growth opportunity""","Jun 21, 2018",3.0,Former Employee,Senior Product Manager,"Lone Tree, CO",Recommends,Positive Outlook,"Benefits should be driving the market, not lagging, or even ""matching"" competition",Great people,Not enough opportunities for advancement,Outside people are brought in too often when there are inside employees that can handle and/or grow into these roles.
"""Managing Director""","Jun 18, 2018",3.0,Former Employee,Managing Director,"Denver, CO",Doesn't Recommend,Positive Outlook,I worked at Charles Schwab full-time (More than a year),Very good people and culture,Senior Deployment IT Management is clueless ....,Don't put people in charge of difficult deployments who have no deployment experience ...
"""Company with integrity""","Jun 18, 2018",3.0,Former Employee,Anonymous Employee,"San Francisco, CA",Recommends,Neutral Outlook,I worked at Charles Schwab full-time (More than 8 years),Great company. Schwabbies are genuinely nice and hard working. Company strives to always do what is right!,Company wanted to minimize its San Francisco based workforce as presence in the city was getting expensive resulting in layoffs for those not wishing to relocate.,Be loyal to your employees. In place of relocation/layoff offer telecommuting as an option.
"""Great Work Life Balance and Room for Growth""","Jun 9, 2018",5.0,Current Employee,Financial Services Professional,"Phoenix, AZ",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than a year),"Flexible Schedule Options, Overtime Available, Great Managers","18-24 month commitment to role before changing departments, primarily phone calls in entry level role",
"""Great Benefits""","Jun 8, 2018",5.0,Current Employee,Financial Services Representative,"Austin, TX",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than 3 years),Schwab does a good job of educating their employees and providing information and tools.,No cons at this time.,Keep it up!
"""Great company to work for""","Jun 9, 2018",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,Approves of CEO,Great culture and employee benefits,No cons at this time,
