date,title,overall_rating,employee_details,pros,cons,ratings_breakup,outlook
3-Oct-18,"""Warehouse worker""",5,Current Employee - Warehouse Associate,Stocks vcp. Great environment. Diversity,Mangers changing often. Rate is hard to meet.,"[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '1.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
3-Oct-18,"""Amazon is the best for you to work and earn your monthly income""",5,Current Employee - Shared Services,Work with amazon and make money,You don't have any problems or issues with us once you're honest and loyal,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
3-Oct-18,"""Working Hard, Having Fun, and Truly Making History""",5,"Current Employee - Senior Manager, Operations Analysis","Amazon recognizes the contributions of it's employees, and offers tremendous growth opportunities for Top performers. I have been fortunate to be surrounded by an amazing team and strong leaders, enabling me to promote 3 times in four years, and branch out from an Operations Leadership Track to a Business Intelligence Support Track with no issue. I've also come to know several Tier 1 associates who have also grown … 

Show More","Be prepared for short deadlines in some cases, as well as high visibility to your performance. There is no expectation to work long hours, but you have to get your job done, or you will be stagnant in your career.

Amazon's culture is one of self learning. You are expected to seek out information that may not be handed to you on a silver platter. You control your own growth. If you choose not to seek out new … 
Show More","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
3-Oct-18,"""A great place to work!""",5,Current Employee - Anonymous Employee,"Remote work options
Competitive compensation
Challenging work","The pace takes some getting used to but if you're up for it and learn, you can find success","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
3-Oct-18,"""Associate""",5,Current Employee - Anonymous Employee,"Wages just increased
Pick your own schedule",At our facility hours can be competitive,"[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '4.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'Approves of CEO', 'Approves of']"
2-Oct-18,"""Associate""",4,Former Employee - Anonymous Employee,"regular part time pay
flexible hours",you get paid for the work you put in,"[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '4.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
3-Oct-18,"""Amazon Warehouse""",4,Former Employee - Picker/Packer,"Good pay, flexible use of PTO and UPT, overtime hours available, work four 10 hour shifts a week which gives you three day weekends.",I worked in many different roles and the work is always very tedious so the clock moves slow. It’s easy for workers to get a bad attitude and that affects the whole atmosphere.,"[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '1.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '1.0')]","['Recommends', 'Neutral Outlook', 'Disapproves of CEO', 'Disapproves of']"
3-Oct-18,"""Sr Manager""",4,Former Employee - Anonymous Employee,"People, Ownership culture, Impact, Stock growth.","Increasing red tape and politics, too big, hiring bar being watered down due to growth.","[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
3-Oct-18,"""Sortation Associate (DDA1)""",4,Current Employee - Sortation Associate,"Fast-paced workplace, hard work gets rewarded, and recognized. Plenty of work opportunities with VET (Voluntary Extra Time). After you obtain your blue-badge (~3 months of work, apply for it), you get unpaid time off as opposed to attendance points.","Frequent changes to protocols to become more efficient, ends up making people less efficient due to confusion. Hard to remove employees who are inefficient, as a result, creates more work for hard-working employees.","[('Work/Life Balance', '1.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '3.0'), ('Senior Management', '3.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
2-Oct-18,"""Great company""",5,Current Employee - Anonymous Employee,"Innovative, flat, global, inclusive, and technical in all job families.",Less importance to non technical roles.,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
2-Oct-18,"""Shift Manager point of view""",5,Current Employee - Shift Manager,"It is a very fair company you get back what you put in.
Easy to prompt.
Great Stock options.
Benefits day1
Amazing coworkers","Long hours!
Dont expect to get any time off from October to January","[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '1.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
2-Oct-18,"""Transportation Area Manager""",5,Current Employee - Transportation Manager,"Absolute ownership by everyone, regardless of position. Management has some of the smartest people employed I've ever met. If you are a hard worker, expect to earn more and more while getting promoted.",You will work long...something I never prided myself on doing. Smart - yes. Hard - yes. But there is an expectation as a manager to work 50 hours a week.,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
2-Oct-18,"""Process Assistant""",5,Current Employee - Anonymous Employee,I love the team I work with. I received amazing training and great support.,Sometimes it's hard to get the time to train for advancement.,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
28-Sep-18,"""If you're creative, skilled, or gifted... there's opportunities to prove it at Amazon""",5,Current Employee - Operations Manager,"Input is desired. Continuous change for the sake of improvement is constant, and mandatory. Great ideas, and the support to implement them, come from every level. You are rarely if ever denied the tools, training, or support to improve the experience for a customer. You can start anywhere and your skills are noticed if you are dedicated, tenacious, and persistent. Talent is recognized. Hard work, and smart work, is … 
Show More","It is not a place to punch a clock. Status quo is unacceptable. You're either moving forward in supporting operations, and progressing in your career, or you're falling behind, and moving backwards. There's little room in management for treading water at Amazon. At times you will need to take full responsibility for your own growth, training, and path. Mentoring is alive and well, but with rampant growth, there's … 
Show More","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
2-Oct-18,"""Safety""",4,Current Employee - Outbound Order Picker,"Friendly management, awesome benefits and safety team cares. I got injured last week and without hesitation, Michael Gray and the team took very good care of me. The process was smooth and I feel so much better mentally and physically. It makes a difference when the company cares about the employees safety.",Nothing at the moment,"[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '4.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'Approves of CEO', 'Approves of']"
2-Oct-18,"""Senior Software Development Manager""",4,Former Employee - Senior Software Development Manager,Amazon is a great company to work for. You will be able to change the world and constantly work on cutting-edge technology building great systems that are important to customers.,"The operational load can be quite high. AWS believes fully in DevOps, which is generally great, but comes with the downside of periodically working long days and even nights when there are operational events.","[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '4.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
2-Oct-18,"""Good place to work and gain more knowledge.""",4,Former Employee - Anonymous Employee,Will experience good Work Life Balance,Nothing much to be mentioned about.,"[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '1.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '1.0')]","['Recommends', 'Neutral Outlook', 'Disapproves of CEO', 'Disapproves of']"
2-Oct-18,"""Challenging in a good way""",4,Current Employee - Cloud Support Engineer,Cutting edge technology and innovation opportunities,Very fast paced and can be stressful long term,"[('Work/Life Balance', '2.0'), ('Culture &amp; Values', '3.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
1-Oct-18,"""Data Cebter Technician""",5,Current Employee - Data Center Technician,"Ive never worked in a place in which they treat you with such respect as a person and a female. At my previous jobs being a woman in the work force was tough so i was nervous to start here but ive never felt so comfortable in a job. They treat you with great respect and care about your well being too. Everyone works as a team and is willing to sacrifice their time to help you succeed too. They dont care about your … 
Show More",i believe that there are no cons here.,"[('Work/Life Balance', '1.0'), ('Culture &amp; Values', '2.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '3.0'), ('Senior Management', '3.0')]","[""Doesn't Recommend"", 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
1-Oct-18,"""Technical Program Manager""",5,Current Employee - Technical Program Manager,Extremely high caliber teammates. Leadership principles are real and feel good to practice.,Work hours. Work/life balance.,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
1-Oct-18,"""Challenging & Rewarding place to work. #AWSome""",5,Current Employee - Senior Consultant,"I've been at Amazon for almost six months and when I tell people they ask me about the horror stories they have read or heard about internal challenges and people crying. I personally have not experienced any of that nor have I seen or heard anything either, I’m sure that there are good and bad teams or managers, but I have not seen it.

What I have seen is that everyone here is really smart and wants you to … 







Show More","No cons, thus so far - honestly. While it is true that there are most likely challenging managers and roles, I’d rather be challenged intellectually and know that what I am doing is solving complex problems than sitting at my desk bored wondering what’s for lunch. (not a Con)

Getting into AWS is very challenging and demands high quality work once you are hired. It doesn’t end after you are hired, it only … 





Show More","[('Work/Life Balance', '3.0'), ('Culture &amp; Values', '1.0'), ('Career Opportunities', '3.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'No opinion of CEO', 'No opinion of']"
1-Oct-18,"""Great Place to Work""",5,Current Employee - Senior Technical Account Manager,"Extremely comprehensive training process, great compensation, ability to think freely, flexible work environment","On-call requirements interfere with weekends, evenings","[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
1-Oct-18,"""Career platform, fascinating work, and non-political, innovative culture""",5,Current Employee - Technical Recruiter,"--Great culture is pervasive in each of the three teams I've worked in
--Can go to ANY team any time with a simple process, can work internationally - a great opportunity to be leveraged like a career platform for growth
--Work is fascinating depending on",#NAME?,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '4.0'), ('Comp &amp; Benefits', '4.0'), ('Senior Management', '3.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
1-Oct-18,"""Executive Assistant""",5,Current Employee - Anonymous Employee,Lots of opportunity to learn and grow! EAs are treated as business partners more so than assistants.,Your work/life balance can differ greatly based on the team you support.,"[('Work/Life Balance', '4.0'), ('Culture &amp; Values', '5.0'), ('Career Opportunities', '5.0'), ('Comp &amp; Benefits', '5.0'), ('Senior Management', '5.0')]","['Recommends', 'Positive Outlook', 'Approves of CEO', 'Approves of']"
